location,title,company,salary,summary
"Pittsburgh, PA 15236",Data Scientist,ApTask,"$180,000 a year","Leveraging new sources, increasing flexibility and ease of integrationShape data management practices, promote best practices and innovation regarding the use..."
"St. Louis, MO",Data Scientist,S.C. International,"$125,000 a year","Qualified candidates should possess an advanced skill set with some combination of SAS, R, Python, MATLAB, SQL, VBA, etc. Actuaries with prior experience in..."
"New York, NY",Data Scientist,"Kennedy Unlimited Inc, Professional Staffing","$100,000 - $130,000 a year","Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"San Francisco, CA",Data Scientist,"Kennedy Unlimited Inc, Professional Staffing","$100,000 - $130,000 a year","Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"Wilmington, DE",Data Scientist,"Kennedy Unlimited Inc, Professional Staffing","$100,000 - $130,000 a year","Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"Minneapolis, MN",Data Scientist,"Kennedy Unlimited Inc, Professional Staffing","$100,000 - $130,000 a year","Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"Charlotte, NC",Data Scientist,"Kennedy Unlimited Inc, Professional Staffing","$100,000 - $130,000 a year","Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"Portland, OR",Data Scientist,"Kennedy Unlimited Inc, Professional Staffing","$100,000 - $130,000 a year","Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"Phoenix, AZ",Data Scientist,"Kennedy Unlimited Inc, Professional Staffing","$100,000 - $130,000 a year","Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"New York, NY",Data Scientist,Averity,"$120,000 - $140,000 a year","We are growing this year, and we hope to add 3-4 more data scientists to our team by the year's end. We are looking for a data scientist that can utilize data..."
"Los Angeles, CA",Jr. Data Scientist,FullDeck,"$40,000 - $60,000 a year","Data Scientist for our client, a fast-growing tech company with high profile entertainment clients! Experience with relational databases, such as MySQL, Oracle,..."
"New York, NY",Jr. Data Scientist,Oliver James Associates,"$110,000 - $111,000 a year",
"New York, NY",Jr. Data Scientist,Oliver James Associates,"$110,000 - $111,000 a year","Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Create project milestone plans to ensure projects are..."
"Chicago, IL 60603 (Loop area)",Jr. Data Scientist,Workbridge Associates,"$100,000 a year",A digital marketing firm located in River North is looking for a Junior-Level Data Scientist to join their growing analytics team....
"New York, NY",Lead Data Scientist,Averity,"$120,000 - $140,000 a year","As a Data Scientist in our Operational Analytics team, you lead and manage a team of data scientists ultimately responsible for driving our company's..."
"Chicago, IL",Lead Data Scientist,Jobspring Partners,"$100,000 - $150,000 a year",
"San Mateo, CA",Lead Data Scientist,3coast,"$130,000 - $160,000 a year",Lead Data Scientist. Prior experience applying strong mathematics fundamentals in data analysis and modeling....
"Chicago, IL 60603 (Loop area)",Lead Data Scientist,Jobspring Partners,"$150,000 a year",Join one of America‰Ûªs leaders in providing health benefits as a Lead Data Scientist. This opportunity will allow you to lead the development of Machine Learning...
